id,user_id,book_id,quantity,shipping,date,price_clean,currency,price_usd,paid_price
71389,47288,18976,2,,2024-10-01 00:00:00,27.0,USD,27.0,54.0
66343,47049,19403,1,"4940 Arnoldo Keys, West Arnette, KS 77599",2024-10-19 00:00:00,50.0,EUR,60.0,60.0
72606,46685,19500,1,,2025-07-02 00:00:00,45.99,USD,45.99,45.99
68462,45336,18992,1,,2025-10-20 00:00:00,71.0,EUR,85.2,85.2
72691,45311,19388,1,,2024-08-28 00:00:00,52.25,USD,52.25,52.25
68274,45939,19251,3,"Suite 161 84822 Volkman Gateway, Luketon, LA 46335",2024-07-01 00:00:00,22.75,USD,22.75,68.25
66248,45486,19550,1,,2025-02-07 00:00:00,35.0,USD,35.0,35.0
64098,46656,19558,1,,2024-10-30 00:00:00,33.0,USD,33.0,33.0
73454,44440,18990,1,,2024-11-11 00:00:00,44.75,USD,44.75,44.75
67871,46293,19212,1,,2024-07-15 00:00:00,49.0,USD,49.0,49.0
71951,45542,18854,2,,2024-12-23 00:00:00,46.0,EUR,55.2,110.4
66491,45800,19187,3,,2025-04-02 00:00:00,59.5,EUR,71.4,214.20000000000002
69129,44820,18933,1,,2024-05-17 00:00:00,40.0,USD,40.0,40.0
69460,46705,19544,4,,2024-04-25 00:00:00,40.0,USD,40.0,160.0
67187,47497,19429,1,,2025-01-20 00:00:00,69.0,USD,69.0,69.0
64981,46213,19450,1,,2024-10-03 00:00:00,31.99,EUR,38.39,38.39
68626,44898,18911,1,,2024-09-23 00:00:00,65.5,USD,65.5,65.5
71724,45512,18966,2,,2024-11-01 00:00:00,55.5,USD,55.5,111.0
65678,46448,19495,1,,2024-10-03 00:00:00,30.25,USD,30.25,30.25
73631,46411,19325,1,"72116 Guy Inlet, West Dionton, WA 64694",2024-08-09 00:00:00,32.0,EUR,38.4,38.4
66496,46161,19565,1,"Apt. 906 66777 Doyle Islands, Donettatown, MD 67566",2024-09-08 00:00:00,67.5,USD,67.5,67.5
71989,45265,19314,3,"939 Colby Square, Boganbury, AL 07963",2024-05-11 00:00:00,31.99,USD,31.99,95.97
71813,47305,19584,1,"Suite 719 168 Bayer Land, Lake Jaimie, CO 89572-5698",2024-08-08 00:00:00,43.0,USD,43.0,43.0
